bin_index,lambda_lo_A,lambda_hi_A,lambda_center_A,epsilon_bin,At_mean,Ac_mean,pre_extract_ratio_mean
1.000000,3390.000000,3620.000000,3505.000000,0.002322,0.955114,0.797659,0.002620
2.000000,3620.000000,3850.000000,3735.000000,0.002788,0.868367,0.727634,0.002850
3.000000,3850.000000,4080.000000,3965.000000,0.003226,0.955283,0.802908,0.003487
4.000000,4080.000000,4310.000000,4195.000000,0.003825,0.868503,0.732116,0.003948
5.000000,4310.000000,4540.000000,4425.000000,0.005216,0.955417,0.807588,0.005863
6.000000,4540.000000,4770.000000,4655.000000,0.006189,0.868613,0.736100,0.006350
7.000000,4770.000000,5000.000000,4885.000000,0.006519,0.955525,0.811774,0.007351
8.000000,5000.000000,5230.000000,5115.000000,0.005454,0.868702,0.739737,0.005552
9.000000,5230.000000,5460.000000,5345.000000,0.007019,0.955616,0.815602,0.007860
10.000000,5460.000000,5690.000000,5575.000000,0.007269,0.868777,0.743019,0.007390
11.000000,5690.000000,5920.000000,5805.000000,0.007276,0.955691,0.819044,0.008110
12.000000,5920.000000,6150.000000,6035.000000,0.007400,0.868841,0.746044,0.007492
13.000000,6150.000000,6380.000000,6265.000000,0.007187,0.955756,0.822215,0.007990
14.000000,6380.000000,6610.000000,6495.000000,0.007236,0.868895,0.748823,0.007313
15.000000,6610.000000,6840.000000,6725.000000,0.007104,0.955812,0.825165,0.007872
16.000000,6840.000000,7070.000000,6955.000000,0.007503,0.868942,0.751396,0.007547
17.000000,7070.000000,7300.000000,7185.000000,0.007969,0.955860,0.827872,0.008804
18.000000,7300.000000,7530.000000,7415.000000,0.008529,0.868984,0.753816,0.008552
19.000000,7530.000000,7760.000000,7645.000000,0.009083,0.955903,0.830450,0.010002
20.000000,7760.000000,7990.000000,7875.000000,0.009332,0.955923,0.831687,0.010259
